Iteration, Batch, Loss
13, 28, 1.2296427488327026
13, 29, 1.2797958850860596
13, 30, 1.3491034507751465
13, 31, 1.2253745794296265
13, 32, 1.2910746335983276
13, 33, 1.2149602174758911
13, 34, 1.2717087268829346
13, 35, 1.2681169509887695
13, 36, 1.2750449180603027
13, 37, 1.2124261856079102
13, 38, 1.2558248043060303
13, 39, 1.2103114128112793
13, 40, 1.3079725503921509
13, 41, 1.3233205080032349
13, 42, 1.1895310878753662
13, 43, 1.2454906702041626
13, 44, 1.2492634057998657
13, 45, 1.2111611366271973
13, 46, 1.2212879657745361
14, 0, 1.155595302581787
14, 1, 1.2571821212768555
14, 2, 1.2684513330459595
14, 3, 1.219228744506836
14, 4, 1.2075178623199463
14, 5, 1.2234926223754883
14, 6, 1.2619749307632446
14, 7, 1.2687046527862549
14, 8, 1.2063852548599243
14, 9, 1.2202444076538086
14, 10, 1.1860289573669434
14, 11, 1.2978758811950684
14, 12, 1.2288305759429932
14, 13, 1.236617922782898
14, 14, 1.2769019603729248
14, 15, 1.2058990001678467
14, 16, 1.3160359859466553
14, 17, 1.2285616397857666
14, 18, 1.240044116973877
14, 19, 1.2240413427352905
14, 20, 1.2247207164764404
14, 21, 1.2382229566574097
14, 22, 1.2563962936401367
14, 23, 1.2575145959854126
14, 24, 1.2451602220535278
14, 25, 1.2689015865325928
14, 26, 1.1930068731307983
14, 27, 1.2934460639953613
14, 28, 1.1557843685150146
14, 29, 1.317615270614624
14, 30, 1.2079412937164307
14, 31, 1.1866925954818726
14, 32, 1.2200855016708374
14, 33, 1.2515649795532227
14, 34, 1.173488974571228
14, 35, 1.3083797693252563
14, 36, 1.1703310012817383
14, 37, 1.23450767993927
14, 38, 1.224718451499939
14, 39, 1.2105830907821655
14, 40, 1.2481799125671387
14, 41, 1.3166899681091309
14, 42, 1.1911636590957642
14, 43, 1.2482554912567139
14, 44, 1.1951366662979126
14, 45, 1.2677652835845947
14, 46, 1.2653027772903442
15, 0, 1.2687441110610962
15, 1, 1.2184655666351318
15, 2, 1.2528002262115479
15, 3, 1.1594972610473633
15, 4, 1.1881871223449707
15, 5, 1.224530816078186
15, 6, 1.2882577180862427
15, 7, 1.1319632530212402
15, 8, 1.2723617553710938
15, 9, 1.0967732667922974
15, 10, 1.2644871473312378
15, 11, 1.3090232610702515
15, 12, 1.211642861366272
15, 13, 1.238641381263733
15, 14, 1.1878271102905273
15, 15, 1.264958381652832
15, 16, 1.2469398975372314
15, 17, 1.2263662815093994
15, 18, 1.2751370668411255
15, 19, 1.2752891778945923
15, 20, 1.2065105438232422
15, 21, 1.2375367879867554
15, 22, 1.249207854270935
15, 23, 1.2043040990829468
15, 24, 1.2614771127700806
15, 25, 1.3532463312149048
15, 26, 1.2155817747116089
15, 27, 1.244232416152954
15, 28, 1.202221393585205
15, 29, 1.2688403129577637
15, 30, 1.2475783824920654
15, 31, 1.2161566019058228
15, 32, 1.2162429094314575
15, 33, 1.286372423171997
15, 34, 1.2721465826034546
15, 35, 1.31084406375885
15, 36, 1.2257070541381836
15, 37, 1.239685297012329
15, 38, 1.177843451499939
15, 39, 1.2201889753341675
15, 40, 1.1769967079162598
15, 41, 1.3046070337295532
15, 42, 1.2814679145812988
15, 43, 1.2870538234710693
15, 44, 1.2381261587142944
15, 45, 1.1962707042694092
15, 46, 1.1477054357528687
16, 0, 1.255257248878479
16, 1, 1.2259422540664673
16, 2, 1.2895772457122803
16, 3, 1.17351496219635
16, 4, 1.2382519245147705
16, 5, 1.2292368412017822
16, 6, 1.1965748071670532
16, 7, 1.2020424604415894
16, 8, 1.2805054187774658
16, 9, 1.2259128093719482
16, 10, 1.2254787683486938
16, 11, 1.3070605993270874
16, 12, 1.200872778892517
16, 13, 1.2868094444274902
16, 14, 1.229209065437317
16, 15, 1.1615395545959473
16, 16, 1.2486929893493652
16, 17, 1.2645236253738403
16, 18, 1.1935864686965942
16, 19, 1.199984073638916
16, 20, 1.2012203931808472
16, 21, 1.1520284414291382
16, 22, 1.2391719818115234
16, 23, 1.1251959800720215
16, 24, 1.1948745250701904
16, 25, 1.2215324640274048
16, 26, 1.3095872402191162
16, 27, 1.2531957626342773
16, 28, 1.2489564418792725
16, 29, 1.2442458868026733
16, 30, 1.2782409191131592
16, 31, 1.2608145475387573
16, 32, 1.2749642133712769
16, 33, 1.1887787580490112
16, 34, 1.194393515586853
16, 35, 1.3204535245895386
16, 36, 1.3132522106170654
16, 37, 1.2699174880981445
16, 38, 1.2557587623596191
16, 39, 1.3108997344970703
16, 40, 1.2139297723770142
16, 41, 1.2260544300079346
16, 42, 1.2021117210388184
16, 43, 1.234987735748291
16, 44, 1.198788046836853
16, 45, 1.1581608057022095
16, 46, 1.1893573999404907
17, 0, 1.2474615573883057
17, 1, 1.2391501665115356
17, 2, 1.1691863536834717
17, 3, 1.2644447088241577
17, 4, 1.2095988988876343
17, 5, 1.28130042552948
17, 6, 1.2879196405410767
17, 7, 1.1274003982543945
17, 8, 1.1994856595993042
17, 9, 1.2268582582473755
17, 10, 1.1364001035690308
17, 11, 1.1950759887695312
17, 12, 1.1842279434204102
17, 13, 1.2950143814086914
17, 14, 1.1690460443496704
17, 15, 1.2157396078109741
17, 16, 1.2891143560409546
17, 17, 1.1705890893936157
17, 18, 1.2698562145233154
17, 19, 1.2177153825759888
17, 20, 1.158403992652893
17, 21, 1.192253589630127
17, 22, 1.2068051099777222
17, 23, 1.2318096160888672
